,PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_is_Earth,HomePlanet_is_Europa,HomePlanet_is_Mars,Destination_is_55 Cancri e,Destination_is_PSO J318.5-22,Destination_is_TRAPPIST-1e,TotalConsume,group_num,cabin_num,deck_is_A,deck_is_B,deck_is_C,deck_is_D,deck_is_E,deck_is_F,deck_is_G,deck_is_T,side_is_P,side_is_S,is_kid,is_elder
0,0001_01,0.0,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,0,1,0,0,0,1,0.0,1,0,0,1,0,0,0,0,0,0,1,0,False,True
1,0002_01,0.0,F/0/S,24.0,0.0,0.007608012842884065,0.0003018817294468856,0.0010641920653839604,0.02450017850767583,0.0018232296026188207,Juanna Vines,1,1,0,0,0,0,1,736.0,1,0,0,0,0,0,0,1,0,0,0,1,False,True
2,0003_01,0.0,A/0/S,58.0,1.0,0.0030013261673762824,0.11994767383356254,0.0,0.2996697607997144,0.002030414784734596,Altark Susent,0,0,1,0,0,0,1,10383.0,2,0,1,0,0,0,0,0,0,0,0,1,False,True
3,0003_02,0.0,A/0/S,33.0,0.0,0.0,0.04303491765337269,0.015792610250297975,0.14856301320956802,0.007997348029668918,Solam Susent,0,0,1,0,0,0,1,5176.0,2,0,1,0,0,0,0,0,0,0,0,1,False,True
4,0004_01,0.0,F/1/S,16.0,0.0,0.021148879737558458,0.0023479690068091102,0.006427720074919122,0.025214209210996073,8.287407284631003e-05,Willy Santantines,1,1,0,0,0,0,1,1091.0,1,1,0,0,0,0,0,1,0,0,0,1,False,True
5,0005_01,0.0,F/0/P,44.0,0.0,0.0,0.01620098614698286,0.0,0.012986433416636915,0.0,Sandie Hinetthews,1,1,0,0,0,1,0,774.0,1,0,0,0,0,0,0,1,0,0,1,0,False,True
6,0006_01,0.0,F/2/S,26.0,0.0,0.0029315278844140435,0.05162177573541744,0.00012770304784607525,0.0,0.0,Billex Jacostaffey,1,1,0,0,0,0,1,1584.0,2,2,0,0,0,0,0,1,0,0,0,1,False,True
7,0006_02,1.0,G/0/S,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,1,1,0,0,0,0,1,1584.0,2,0,0,0,0,0,0,0,1,0,0,1,False,True
8,0007_01,0.0,F/3/S,35.0,0.0,0.0,0.02633079529064502,0.0007236506044610931,0.009639414494823277,0.0,Andona Beston,1,1,0,0,0,0,1,1018.0,1,3,0,0,0,0,0,1,0,0,0,1,False,True
9,0008_01,1.0,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,0,1,0,1,0,0,0.0,3,1,0,1,0,0,0,0,0,0,1,0,False,True
10,0008_02,1.0,B/1/P,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,1,0,1,0,0,0,1,0.0,3,1,0,1,0,0,0,0,0,0,1,0,False,True
11,0008_03,0.0,B/1/P,45.0,0.0,0.002722133035527326,0.24469191292389225,0.02507236506044611,0.004908961085326669,0.005138192516471222,Wezena Flatic,1,0,1,0,1,0,0,8157.0,3,1,0,1,0,0,0,0,0,0,1,0,False,True
12,0009_01,0.0,F/1/P,32.0,0.0,0.005095274656243457,0.0,0.0478035075770475,0.0,0.004682385115816517,Berers Barne,1,0,0,1,0,0,1,1309.0,1,1,0,0,0,0,0,1,0,0,1,0,False,True
13,0010_01,0.0,G/1/S,48.0,0.0,0.05018496544984993,3.3542414382987286e-05,0.0027668993699982974,0.0,0.0009944888741557204,Reney Baketton,0,1,0,0,0,0,1,809.0,1,1,0,0,0,0,0,0,1,0,0,1,False,True
14,0011_01,0.0,F/2/P,28.0,0.0,0.000558386263697913,0.03267031160902962,0.000510812191384301,8.925383791503035e-05,0.0002900592549620851,Elle Bertsontry,1,1,0,0,0,0,1,1003.0,1,2,0,0,0,0,0,1,0,0,1,0,False,True
15,0012_01,0.0,F/2/P,31.0,0.0,0.002233545054791652,0.0,0.03728928997105398,0.0,0.0,Justie Pooles,0,1,0,0,0,0,1,908.0,1,2,0,0,0,0,0,1,0,0,1,0,False,True
16,0014_01,0.0,F/3/P,27.0,0.0,0.08976059188943952,0.004092174554724449,0.03728928997105398,0.0,0.0,Flats Eccle,0,0,0,1,1,0,0,908.0,1,3,0,0,0,0,0,1,0,0,1,0,False,True
17,0015_01,0.0,F/4/P,24.0,0.0,0.0,3.3542414382987286e-05,0.0,0.0,0.026395392201549746,Carry Hughriend,0,1,0,0,1,0,0,638.0,1,4,0,0,0,0,0,1,0,0,1,0,False,True
18,0016_01,1.0,F/5/P,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,0,0,1,0,0,1,0.0,1,5,0,0,0,0,0,1,0,0,1,0,False,True
19,0017_01,0.0,G/0/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,1,0,0,0,0,1,0.0,2,0,0,0,0,0,0,0,1,0,1,0,True,False
20,0017_02,0.0,F/6/P,14.0,0.0,0.02875689258044252,0.0,4.256768261535842e-05,0.0,0.028135747731322255,Philda Brighttt,0,1,0,0,1,0,0,1092.0,2,6,0,0,0,0,0,1,0,0,1,0,False,True
21,0020_01,1.0,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,1,0,0,0,0,1,0.0,6,0,0,0,0,0,1,0,0,0,0,1,True,False
22,0020_02,1.0,E/0/S,49.0,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0,1,0,0,1,0,0,0.0,6,0,0,0,0,0,1,0,0,0,0,1,False,True
23,0020_03,1.0,E/0/S,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,0,1,0,0,1,0,0,0.0,6,0,0,0,0,0,1,0,0,0,0,1,False,True
24,0020_04,0.0,E/0/S,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,1,0,0,0,0,1,0.0,6,0,0,0,0,0,1,0,0,0,0,1,True,False
25,0020_05,1.0,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,0,1,0,0,0,1,0,0.0,6,0,0,0,0,0,1,0,0,0,0,1,True,False
26,0020_06,0.0,E/0/S,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,1,0,0,0,0,1,0.0,6,0,0,0,0,0,1,0,0,0,0,1,True,False
27,0022_01,0.0,D/0/P,21.0,0.0,0.06840231730299434,6.708482876597457e-05,0.002937170100459731,0.0,0.0,Terta Mcfaddennon,0,0,0,1,0,0,1,1051.0,1,0,0,0,0,1,0,0,0,0,1,0,False,True
28,0024_01,1.0,C/2/S,62.0,0.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,1,0,1,0,0,0,1,1051.0,1,2,0,0,1,0,0,0,0,0,0,1,False,True
29,0025_01,0.0,F/6/S,15.0,0.0,0.0,0.00754704323617214,0.0,0.04453766511960014,0.0,Karard Brookenson,0,1,0,0,0,0,1,1223.0,1,6,0,0,0,0,0,1,0,0,0,1,False,True
30,0026_01,0.0,C/0/P,34.0,0.0,0.001535562225169261,0.2037030825478818,0.0,0.06417350946090682,0.013591347946794846,Anyoni Unconary,0,0,1,0,1,0,0,7861.0,1,0,0,0,1,0,0,0,0,0,1,0,False,True
31,0028_01,0.0,F/8/P,43.0,0.0,0.07852306833251901,0.0,0.005789204835688745,0.0021420921099607284,0.0,Ceros Mare,0,0,0,1,0,0,1,1309.0,1,8,0,0,0,0,0,1,0,0,1,0,False,True
32,0030_01,0.0,G/4/S,32.0,0.0,0.0,0.028511052225539193,0.003447982291844032,0.01950196358443413,0.018770977499689222,Ginia Morsentley,0,1,0,0,0,0,1,1821.0,1,4,0,0,0,0,0,0,1,0,0,1,False,True
33,0031_01,0.0,F/9/P,47.0,0.0,0.014936832553919173,0.0,0.06006300017027073,0.0,0.05092611776405751,Coobix Datie,1,0,0,1,0,0,1,2854.0,3,9,0,0,0,0,0,1,0,0,1,0,False,True
34,0031_02,0.0,F/9/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,0,0,1,0,0,1,0.0,3,9,0,0,0,0,0,1,0,0,1,0,True,False
35,0031_03,0.0,F/9/P,20.0,0.0,0.0,0.0,0.07449344457687723,0.04418064976794002,0.0,Dontch Datie,1,0,0,1,0,0,1,0.0,3,9,0,0,0,0,0,1,0,0,1,0,False,True
36,0034_01,1.0,D/1/S,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,0,1,0,1,0,0,0.0,1,1,0,0,0,1,0,0,0,0,0,1,False,True
37,0035_01,0.0,D/1/P,23.0,0.0,0.054721853842395474,0.032334887465199746,0.0,0.042440199928596926,0.0,Luse Butte,0,0,0,1,1,0,0,2699.0,1,1,0,0,0,1,0,0,0,0,1,0,False,True
38,0036_01,0.0,F/8/S,15.0,0.0,0.0,0.016502867876429746,0.002043248765537204,0.0008925383791503035,0.01661625160568516,Marina Leodger,0,1,0,0,1,0,0,961.0,1,8,0,0,0,0,0,1,0,0,0,1,False,True
39,0038_01,0.0,F/10/S,20.0,0.0,0.03866824876108048,0.006540770804682521,0.0,0.11629775080328454,0.0,Loise Wheelez,0,1,0,0,1,0,0,3355.0,1,10,0,0,0,0,0,1,0,0,0,1,False,True
40,0039_01,1.0,G/1/P,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,0,1,0,0,1,0,0,3355.0,1,1,0,0,0,0,0,0,1,0,1,0,False,True
41,0041_01,1.0,G/2/P,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,1,0,0,0,0,1,0.0,1,2,0,0,0,0,0,0,1,0,1,0,False,True
42,0043_01,0.0,B/3/P,45.0,0.0,0.0,0.005500955958809915,0.0019155457176911288,0.1120581935023206,0.03542866614179754,Ankalik Cylistrand,0,0,1,0,0,0,1,3575.0,1,3,0,1,0,0,0,0,0,0,1,0,False,True
43,0044_01,1.0,G/3/P,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0,1,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,1,0,1,0,False,True
44,0044_02,1.0,G/3/P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,1,0,0,1,0,0,0.0,3,3,0,0,0,0,0,0,1,0,1,0,True,False
45,0044_03,1.0,G/3/P,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,1,0,0,0,1,0,0.0,3,3,0,0,0,0,0,0,1,0,1,0,False,True
46,0045_01,0.0,F/10/P,21.0,0.0,0.06770433447337196,0.0,0.007662182870764515,0.0,0.002651970331081921,Zelowl Chmad,0,0,0,1,0,0,1,1214.0,2,10,0,0,0,0,0,1,0,0,1,0,False,True
47,0045_02,1.0,F/10/P,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1,0,0,1,0,0,0,0.0,2,10,0,0,0,0,0,1,0,0,1,0,False,True
48,0050_01,0.0,E/1/S,35.0,0.0,0.05514064354016891,0.0,0.0,0.0,0.0,Sony Lancis,0,1,0,0,1,0,0,0.0,1,1,0,0,0,0,1,0,0,0,0,1,False,True
49,0051_01,0.0,E/2/S,56.0,0.0,0.0,0.0037567504108945763,0.0,0.061540521242413423,0.005262503625740687,Vivia Johnshines,0,1,0,0,0,0,1,1618.0,1,2,0,0,0,0,1,0,0,0,0,1,False,True
50,0052_01,0.0,G/6/S,56.0,0.0,0.0002791931318489565,0.0,8.513536523071684e-05,0.20898786147804355,0.0,Elaney Hubbarton,0,1,0,0,0,0,1,4689.0,1,6,0,0,0,0,0,0,1,0,0,1,False,True
51,0053_01,0.0,F/11/S,25.0,0.0,0.0,0.0,0.08249616890856462,0.0,4.1437036423155016e-05,Elson Hickerson,1,1,0,0,0,0,1,1939.0,1,11,0,0,0,0,0,1,0,0,0,1,False,True
52,0056_01,0.0,A/1/S,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1,0,1,0,0,0,1,0.0,3,1,1,0,0,0,0,0,0,0,0,1,True,False
53,0056_02,1.0,A/1/S,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1,0,1,0,0,0,1,0.0,3,1,1,0,0,0,0,0,0,0,0,1,False,True
54,0056_03,0.0,A/1/S,27.0,0.0,0.019473720946464716,0.020293160701707308,0.1436233611442193,0.01276329882184934,0.00012431110926946505,Zinoces Tractive,1,0,1,0,0,0,1,4547.0,3,1,1,0,0,0,0,0,0,0,0,1,False,True
55,0058_01,1.0,G/7/S,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0,1,0,0,0,1,0,0.0,1,7,0,0,0,0,0,0,1,0,0,1,False,True
56,0061_01,0.0,F/12/S,22.0,0.0,0.003140922733300761,0.03676248616375407,0.006300017027073046,0.06145126740449839,4.1437036423155016e-05,Shanya Salez,0,1,0,0,0,0,1,2667.0,1,12,0,0,0,0,0,1,0,0,0,1,False,True
57,0062_01,0.0,F/13/S,62.0,0.0,0.0,0.019857109314728474,0.0,0.0007586576222777579,0.0010359259105788754,Sterry Greeves,0,1,0,0,0,0,1,634.0,1,13,0,0,0,0,0,1,0,0,0,1,False,True
58,0064_01,1.0,F/14/S,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Sterry Greeves,1,0,0,1,0,0,1,0.0,2,14,0,0,0,0,0,1,0,0,0,1,False,True
59,0064_02,1.0,E/3/S,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,1,0,0,0,0,0,1,0.0,2,3,0,0,0,0,1,0,0,0,0,1,False,True
60,0066_01,0.0,G/6/P,62.0,0.0,6.979828296223913e-05,0.005131989400597055,0.00838583347522561,0.0,0.019061036754651307,Diandy Pecketton,0,1,0,0,0,0,1,811.0,1,6,0,0,0,0,0,0,1,0,1,0,False,True
61,0067_01,1.0,G/10/S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,1,0,0,0,1,0,0.0,3,10,0,0,0,0,0,0,1,0,0,1,True,False
62,0067_02,0.0,G/10/S,18.0,0.0,6.979828296223913e-05,0.00865394291081072,0.018985186446449854,0.0,0.0,Celine Leeves,1,1,0,0,0,0,1,705.0,3,10,0,0,0,0,0,0,1,0,0,1,False,True
63,0067_03,0.0,F/15/S,21.0,0.0,0.13582745864451734,0.0012410693321705296,0.0,0.0,0.0009944888741557204,Velyne Leeves,0,1,0,0,1,0,0,2007.0,3,15,0,0,0,0,0,1,0,0,0,1,False,True
64,0068_01,0.0,E/4/S,21.0,0.0,0.05535003838905563,0.0,8.513536523071684e-05,0.011290610496251338,0.0,Cinst Binie,0,0,0,1,0,0,1,1048.0,1,4,0,0,0,0,1,0,0,0,0,1,False,True
